State,Biomass_2021,Geothermal_2021,Hydropower_2021,Solar Energy_2021,Wind Energy_2021,Biomass_2022,Geothermal_2022,Hydropower_2022,Solar Energy_2022,Wind Energy_2022,Biomass_2023,Geothermal_2023,Hydropower_2023,Solar Energy_2023,Wind Energy_2023
Alaska,3153,186,5763,45,451,3846,186,5846,57,475,3404,186,6051,67,380
Alabama,198543,141,39309,1823,0,193932,141,34762,3200,0,189040,141,28762,4246,0
Arkansas,72939,808,13746,2221,0,74816,808,11835,3365,0,71311,808,11017,4141,0
Arizona,35287,345,20379,37795,5460,36364,345,18075,41092,5338,36572,345,20258,45356,5914
California,462829,40106,50080,205221,51784,497652,40288,60202,232908,49945,612607,40578,110485,253676,47833
Colorado,36334,759,5453,9801,51609,38711,759,4588,13159,57701,35513,759,5447,18440,54903
Connecticut,42781,21,1629,4831,44,41972,21,1065,5982,44,40711,21,1588,6629,34
District of Columbia,1897,22,0,568,0,1923,22,0,678,0,1984,22,0,790,0
Delaware,5995,430,0,709,17,6160,430,0,797,15,6383,430,0,1213,14
Florida,221885,10056,858,64491,0,219011,10056,788,74750,0,187267,10056,765,88219,0
Georgia,258089,315,12491,18218,0,256735,315,10840,25348,0,253485,315,9799,27863,0
Hawaii,8816,635,392,8046,2245,8806,719,376,8437,2134,8914,665,318,8985,2164
Iowa,256935,1281,3344,1647,126579,258515,1281,3446,2404,156138,265747,1281,3235,3146,141392
Idaho,33826,1819,27280,2358,9145,37284,1814,28523,2453,8331,35074,1804,28585,3749,7915
Illinois,150154,2042,439,6190,65282,155145,2042,393,10800,80161,155910,2042,314,13028,74409
Indiana,121697,4647,1321,2852,26808,126202,4647,1265,4803,34070,128816,4647,1582,7669,30177
Kansas,46363,974,102,444,87667,48860,974,81,579,101294,45449,974,46,745,93054
Kentucky,51928,2712,16638,465,0,58773,2712,15456,575,0,55351,2712,13493,1047,0
Louisiana,128794,1842,3785,1484,0,131549,1842,3126,1692,0,132613,1842,2414,2113,0
Massachusetts,55621,859,3813,14366,712,57545,859,2993,18568,736,56272,859,3976,19833,620
Maryland,37402,570,7224,5772,1765,35988,570,6072,6928,1698,37140,570,6309,8049,1643
Maine,76566,72,8670,1153,8681,71303,72,10452,2771,9268,64238,72,13074,4080,7980
Michigan,155433,5193,4571,2616,26262,161389,5193,4729,4276,31224,154360,5193,4760,5851,28294
Minnesota,163547,1075,2317,7304,41870,166428,1075,3243,7531,51491,162640,1075,2560,8462,49127
Missouri,58533,352,5792,1906,22295,62209,352,4721,2355,25674,61275,352,2679,2989,23117
Mississippi,63655,958,0,1520,0,63847,958,0,1809,0,64093,958,0,2253,0
Montana,12290,337,31590,269,11849,12554,337,33731,299,13723,11496,337,29999,1089,15548
North Carolina,138045,967,19833,36370,1756,138609,967,15990,40733,1866,127660,967,14417,41955,1805
North Dakota,33921,978,6787,9,50959,33480,978,6112,10,55445,34539,978,7230,12,49395
Nebraska,120181,1212,3832,322,32728,120119,1212,3608,404,43039,118507,1212,3900,468,40416
New Hampshire,32487,29,3497,745,1720,33184,29,4099,906,1646,31020,29,5431,1105,1404
New Jersey,53825,466,62,15619,67,54827,466,18,17803,74,55964,466,40,17876,63
New Mexico,17390,542,419,7757,36101,18132,528,412,8962,49251,17018,490,368,11514,50888
Nevada,13735,14914,6634,27204,1160,14392,14913,5752,36601,1077,13774,15709,4500,39902,994
New York,135921,1185,98148,14542,14182,140237,1185,93596,19281,15584,135868,1185,97017,22521,16377
Ohio,129100,3435,1973,3524,8826,134824,3435,1730,4531,10761,131879,3435,1730,6420,9620
Oklahoma,56130,24,9438,466,111028,54864,24,6038,598,128130,53151,24,5062,856,126286
Oregon,89886,1856,94374,7437,31990,93054,1842,106810,8257,27805,104208,1833,89835,9637,30550
Pennsylvania,151173,2162,10696,3768,11789,154330,2162,9051,4319,12188,149768,2162,9497,5491,11117
Rhode Island,8808,57,15,2331,587,9395,57,25,3073,714,9375,57,26,3545,576
South Carolina,125195,648,8679,9273,0,127166,648,7440,10073,0,122864,648,7504,11470,0
South Dakota,76673,1868,17000,19,31822,78433,1868,14530,20,35127,77849,1868,14657,177,31989
Tennessee,96952,213,37093,1487,96,82232,213,31384,2593,51,84416,213,27438,3557,55
Texas,249311,2478,3693,59311,339406,268045,2478,2116,87388,391653,266309,2478,2586,110891,408946
Utah,15136,2240,1684,14174,2816,14627,2389,2031,15854,2468,15792,2371,2624,16556,2332
Virginia,155498,1701,4455,12792,169,162230,1701,3880,17653,174,155917,1701,4745,21455,160
Vermont,15197,29,3729,1322,1154,15188,29,3892,1504,1396,14207,29,5252,1562,1159
Washington,116292,1136,243546,1354,31724,118813,1136,269263,1754,27504,126267,1136,209653,3140,25759
Wisconsin,130446,615,7318,2119,5437,133538,615,6793,3749,6195,132268,615,6571,5581,5930
West Virginia,14909,32,5816,129,5542,15724,32,5620,166,6848,15773,32,5221,214,7129
Wyoming,4876,663,2697,674,28824,4790,663,2541,715,33370,4521,663,3130,692,29468
US,4752482,118007,858407,626863,1290407,4873241,118389,869339,764563,1481823,4914764,119346,835948,880325,1436934
