State,Avgprice_2021,Avgprice_2022,Avgprice_2023
Alaska,20.03,27.33,NA
Alabama,17.85,23.37,21.11
Arkansas,18.42,23.84,21.76
Arizona,25.07,31.72,30.28
California,28.44,37.35,35.72
Colorado,20.64,25.85,23.85
Connecticut,25.85,33.15,NA
NA,25.67,30.84,32.28
Delaware,21.83,27.74,26.7
Florida,22.53,29.35,28.12
Georgia,19.77,25.51,22.97
Hawaii,32.69,44.71,NA
Iowa,16.39,20.48,18.09
Idaho,19.34,23.86,22.77
Illinois,18.35,23.98,21.6
Indiana,17.13,22.01,19.87
Kansas,19.06,24.67,22.19
Kentucky,19.23,25.3,22.24
Louisiana,12.48,15.99,12.42
Massachusetts,25.73,32.54,31.73
Maryland,23.64,29.98,28.85
Maine,21.37,29.77,28.75
Michigan,19.38,23.37,22.37
Minnesota,18.75,23.81,22.18
Missouri,20.5,26.1,24.7
Mississippi,18.93,24.15,22.44
Montana,20.62,25.59,24.05
North Carolina,20.97,26.13,24.97
North Dakota,15.59,19.98,18.15
Nebraska,17.53,22.69,20.47
New Hampshire,25.83,34.11,32.28
New Jersey,21.79,27.11,25.2
New Mexico,21.4,27.76,24.66
Nevada,21.11,28.94,28.58
New York,22.6,29.11,27.05
Ohio,18.48,23.26,21.65
Oklahoma,17.41,23.62,20.3
Oregon,21.46,26.92,26.55
Pennsylvania,19.53,25.1,23.67
Rhode Island,25.61,31.84,31.52
South Carolina,20.21,25.37,23.07
South Dakota,18.85,23.68,21.31
Tennessee,19.57,25.76,23.31
Texas,16.38,20.78,17.37
Utah,19.71,25.03,23.79
Virginia,19.72,25.57,23.81
Vermont,25.18,31.81,29.76
Washington,20.95,26.93,26.35
Wisconsin,19.43,24.06,22.7
West Virginia,19.57,25.49,24.29
Wyoming,17.27,21.76,19.69
US,19.98,25.66,23.59
