State,Coal_2021,Natural Gas_2021,Petroleum_2021,Nuclear_2021,Total Renewable Energy_2021,Coal Consumption_2022,Natural Gas_2022,Petroleum_2022,Nuclear Energy_2022,Total Renewables_2022,Coal Usage_2023,Natural Gas_2023,Petroleum_2023,Nuclear Energy_2023,Total Renewable Energy_2023
Alaska,18694,395590,261094,0,9597,18615,437916,263335,0,10410,18414,448087,270391,0,10087
Alabama,309791,739891,583042,480115,239817,297654,787300,578431,442093,232035,224926,775747,565754,476392,222189
Arkansas,216123,360545,328271,141372,89714,211724,398099,327813,149654,90825,180262,399566,327465,156492,87277
Arizona,160299,484962,606862,329868,99266,154007,468038,594859,333738,101215,137885,537151,599712,329474,108445
California,28244,2172757,2959389,171842,810020,30049,2131372,3017944,183814,880995,28746,2154533,2996168,185192,1065179
Colorado,252442,509970,497788,0,103955,233256,524890,538413,0,114917,204826,525446,514174,0,115061
Connecticut,2880,305184,284788,179551,49306,0,307212,302881,172018,49084,0,304924,292864,142873,48981
District of Columbia,0,28336,18439,0,2487,0,30174,18000,0,2622,0,26236,17292,0,2795
Delaware,4542,82708,113641,0,7150,1846,89674,112026,0,7402,338,84387,110721,0,8041
Florida,200193,1591864,1748346,307811,297291,171953,1659544,1815529,321468,304605,129387,1673836,1835394,312935,286306
Georgia,203870,773889,922503,354085,289113,180888,809618,940579,356001,293237,177521,787361,980546,390663,291462
Hawaii,12566,133,223014,0,20134,7680,159,241994,0,20471,0,152,251676,0,21046
Iowa,264419,383424,408385,0,389787,227866,434374,423592,0,421784,201276,446677,404172,0,414801
Idaho,3051,135176,188263,0,74428,1881,141924,190635,0,78406,1144,154150,189553,0,77128
Illinois,522809,1088485,1136797,1011555,224106,496983,1134781,1138141,1032989,248541,342683,1101064,1134461,1019691,245703
Indiana,753557,869328,712427,0,157324,719238,913401,699235,0,170986,613533,921814,695709,0,172891
Kansas,219031,291797,339006,89426,135551,226712,318779,346852,93844,151788,184614,309427,345807,107675,140268
Kentucky,548443,365875,584011,0,71744,523276,402534,580349,0,77517,481815,369986,584722,0,72603
Louisiana,95856,1862349,1840835,179886,135905,96914,2087166,1663129,168889,138209,58224,2055504,1620038,127634,138982
Massachusetts,0,404301,503312,0,75370,0,432442,529154,0,80700,0,386946,525647,0,81559
Maryland,69186,299282,433791,156369,52732,61932,310133,411842,154742,51255,30349,304669,429784,156610,53711
Maine,1588,57233,163991,0,95141,1269,62559,166724,0,93867,1295,61045,177091,0,89444
Michigan,436203,950364,814081,358114,194075,423504,1087716,820709,271788,206811,287490,1104234,810789,292615,198459
Minnesota,179055,523812,561731,147286,216113,184517,535010,568916,153546,229769,148968,536789,567072,124626,223864
Missouri,616413,293633,607276,44766,88879,566940,322547,606374,92724,95312,442901,316512,612625,95947,90412
Mississippi,64446,576903,384328,122771,66134,66214,617855,383366,89856,66614,49606,630107,378072,122807,67305
Montana,122765,87105,176686,0,56334,131345,93971,177009,0,60644,130059,96777,173283,0,58470
North Carolina,222501,637553,884299,449675,196973,163029,747187,906477,445547,198165,153784,662302,900241,442493,186804
North Dakota,361811,191168,168682,0,92653,369340,198986,170390,0,96024,325716,220768,169307,0,92154
Nebraska,216298,191008,237214,71758,158275,223571,199260,237556,58702,168382,195602,206276,233599,72391,164502
New Hampshire,3259,60116,142030,102789,38479,3864,60176,149025,114108,39863,1838,59589,147387,99658,38988
New Jersey,12586,697019,749892,293494,70039,6199,755048,769751,295875,73187,0,721282,787262,296162,74408
New Mexico,133228,285809,262885,0,62210,138077,301279,255571,0,77286,75182,337083,251686,0,80278
Nevada,35910,305212,286548,0,63647,35835,302315,303234,0,72734,29284,301655,296155,0,74878
New York,5370,1359437,1237451,325141,263977,6143,1403401,1321362,280133,269884,4823,1346622,1341811,287690,272967
Ohio,575920,1294814,1028000,182330,146858,539587,1422175,1031807,175806,155282,413577,1448857,1009729,169392,153083
Oklahoma,131695,745911,517408,0,177087,106855,772405,521629,0,189654,63787,860217,515440,0,185378
Oregon,1303,305665,317322,0,225544,1066,297591,315400,0,237768,652,327164,313013,0,236062
Pennsylvania,485193,1868137,1047658,791587,179589,435540,1936985,1108074,795783,182051,307604,1937041,1132958,787083,178035
Rhode Island,0,105473,76464,0,11798,0,93829,78260,0,13264,0,112499,76844,0,13579
South Carolina,162628,349990,508147,560782,143796,150973,361249,495616,568055,145328,162323,346881,507146,581365,142486
South Dakota,21589,96787,119505,0,127382,24769,98288,118593,0,129978,22246,99752,114623,0,126540
Tennessee,225784,413554,713210,368461,135841,204725,440017,707095,372319,116472,202367,396870,702827,396522,115678
Texas,968401,4773076,6783182,419363,654199,932569,5007366,6582173,434709,751680,805600,5284670,6752349,425186,791211
Utah,276159,274420,304823,0,36050,237870,287076,322387,0,37369,174315,298976,324640,0,39674
Virginia,68603,699927,795296,297972,174615,67739,665869,798162,294606,185638,46785,655997,807547,310037,183979
Vermont,0,13801,72241,0,21430,0,14046,71534,0,22009,0,13001,70235,0,22209
Washington,36943,384769,711662,88764,394052,42238,381886,725931,102929,418470,49523,403038,718277,88163,365956
Wisconsin,286760,561076,533390,103979,145936,232501,622144,535483,105285,150890,219995,565025,525386,101204,150965
West Virginia,633582,277002,205005,0,26427,536642,281657,201769,0,28391,472309,309019,206969,0,28370
Wyoming,376971,161580,146274,0,37734,390303,172450,145723,0,42079,366098,181395,143944,0,38474
US,10548957,31688203,35250685,8130913,7646167,9885694,33361871,35330835,8061020,8107353,8169673,33609104,35460356,8098974,8187317
